# Athena++ data at time=1.000000e+00  cycle=58  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0082  1.22000e+00  1.35821e+00  1.68000e+00  4.23530e-01  0.00000e+00  0.00000e+00
0083  1.26000e+00  1.35830e+00  1.68015e+00  4.23609e-01  0.00000e+00  0.00000e+00
0084  1.30000e+00  1.35842e+00  1.68036e+00  4.23717e-01  0.00000e+00  0.00000e+00
0085  1.34000e+00  1.35851e+00  1.68053e+00  4.23801e-01  0.00000e+00  0.00000e+00
0086  1.38000e+00  1.35855e+00  1.68059e+00  4.23835e-01  0.00000e+00  0.00000e+00
0087  1.42000e+00  1.35856e+00  1.68061e+00  4.23842e-01  0.00000e+00  0.00000e+00
0088  1.46000e+00  1.35854e+00  1.68056e+00  4.23816e-01  0.00000e+00  0.00000e+00
0089  1.50000e+00  1.35769e+00  1.67879e+00  4.22942e-01  0.00000e+00  0.00000e+00
0090  1.54000e+00  1.34574e+00  1.65420e+00  4.10199e-01  0.00000e+00  0.00000e+00
0091  1.58000e+00  1.27964e+00  1.52047e+00  3.37653e-01  0.00000e+00  0.00000e+00
0092  1.62000e+00  1.14304e+00  1.25571e+00  1.79489e-01  0.00000e+00  0.00000e+00
0093  1.66000e+00  1.03820e+00  1.06532e+00  4.91508e-02  0.00000e+00  0.00000e+00
0094  1.70000e+00  1.00551e+00  1.00923e+00  7.11238e-03  0.00000e+00  0.00000e+00
0095  1.74000e+00  1.00051e+00  1.00085e+00  6.60762e-04  0.00000e+00  0.00000e+00
0096  1.78000e+00  1.00004e+00  1.00006e+00  4.56339e-05  0.00000e+00  0.00000e+00
0097  1.82000e+00  1.00000e+00  1.00000e+00  2.54136e-06  0.00000e+00  0.00000e+00
0098  1.86000e+00  1.00000e+00  1.00000e+00  1.20955e-07  0.00000e+00  0.00000e+00
0099  1.90000e+00  1.00000e+00  1.00000e+00  5.13451e-09  0.00000e+00  0.00000e+00
0100  1.94000e+00  1.00000e+00  1.00000e+00  2.00763e-10  0.00000e+00  0.00000e+00
0101  1.98000e+00  1.00000e+00  1.00000e+00  3.81734e-12  0.00000e+00  0.00000e+00
